0,1,2,3,4
10,,,,
19,,,,
16,,,,
16,,,,
11,,,,
15,,,,
8,9.0,10.0,11.0,
13,14.0,15.0,16.0,
9,10.0,11.0,12.0,13.0
8,,,,
20,21.0,,,
20,21.0,,,
20,21.0,,,
15,,,,
16,,,,
16,,,,
15,,,,
16,,,,
3,4.0,5.0,6.0,
3,4.0,5.0,6.0,
10,11.0,12.0,13.0,
10,,,,
22,,,,
10,,,,
21,22.0,,,
12,,,,
13,,,,
13,,,,
15,,,,
12,,,,
14,15.0,,,
4,5.0,6.0,7.0,
4,5.0,6.0,7.0,
4,5.0,6.0,7.0,
2,3.0,4.0,5.0,6.0
15,16.0,17.0,18.0,19.0
22,,,,
7,8.0,,,
22,23.0,,,
5,6.0,,,
6,7.0,8.0,,
12,,,,
15,16.0,,,
12,,,,
20,21.0,22.0,23.0,
16,17.0,18.0,19.0,
18,19.0,20.0,21.0,
20,21.0,,,
9,,,,
9,,,,
9,,,,
20,21.0,,,
9,,,,
9,,,,
9,,,,
20,21.0,,,
11,,,,
11,,,,
12,,,,
20,,,,
14,15.0,16.0,17.0,
8,,,,
9,,,,
9,,,,
20,,,,
