0,1,2,3,4
0,,,,
1,,,,
2,,,,
3,,,,
4,,,,
5,,,,
6,6.0,6.0,6.0,
7,7.0,7.0,7.0,
8,8.0,8.0,8.0,8.0
9,,,,
10,10.0,,,
11,11.0,,,
12,12.0,,,
13,,,,
14,,,,
15,,,,
16,,,,
17,,,,
18,18.0,18.0,18.0,
19,19.0,19.0,19.0,
20,20.0,20.0,20.0,
21,,,,
22,,,,
23,,,,
24,24.0,,,
25,,,,
26,,,,
27,,,,
28,,,,
29,,,,
30,30.0,,,
31,31.0,31.0,31.0,
32,32.0,32.0,32.0,
33,33.0,33.0,33.0,
34,34.0,34.0,34.0,34.0
35,35.0,35.0,35.0,35.0
36,,,,
37,37.0,,,
38,38.0,,,
39,39.0,,,
40,40.0,40.0,,
41,,,,
42,42.0,,,
43,,,,
44,44.0,44.0,44.0,
45,45.0,45.0,45.0,
46,46.0,46.0,46.0,
47,47.0,,,
48,,,,
49,,,,
50,,,,
51,51.0,,,
52,,,,
53,,,,
54,,,,
55,55.0,,,
56,,,,
57,,,,
58,,,,
59,,,,
60,60.0,60.0,60.0,
61,,,,
62,,,,
63,,,,
64,,,,
